,row,col
無料,11,8
大きい,8,8
最近,14,0
間,13,2
執筆,11,8
便利,8,6
すごい,0,1
使える,8,6
違う,15,0
今年,12,3
点,7,8
接続,8,6
肌,6,0
様,0,5
機種,9,7
事,1,0
選手,4,5
恋愛,1,0
分かる,0,0
理由,1,0
よい,0,0
話す,0,1
部分,7,6
充電,8,6
商品,11,8
確認,8,6
すぎる,1,1
販売,10,7
台,9,8
一番,0,0
食べる,8,0
ちゃう,0,1
応募,11,8
楽しい,0,2
誰,1,0
増える,15,0
友達,0,1
姿,0,6
魅力,5,8
採用,7,7
際,8,5
得る,15,0
描く,0,7
見える,1,2
関係,1,0
こちら,11,8
転職,17,0
製,9,6
言葉,1,0
先,0,2
美しい,5,8
続く,4,3
独女,1,0
しよう,14,0
ほか,9,5
内,8,5
観る,1,2
容量,8,7
出演,1,8
出す,2,2
欲しい,14,0
場所,0,4
おすすめ,14,0
様々,15,0
金,12,8
今後,16,0
代,12,0
力,16,0
型,10,5
役,1,8
実施,11,8
最後,13,0
僕,0,0
感じ,0,1
顔,0,1
呼ぶ,2,2
みたい,0,1
決定,0,8
系,9,4
見せる,2,2
意見,1,0
はず,1,0
子供,0,0
全国,12,8
感,6,8
入力,8,6
そこ,1,0
楽しめる,0,3
海外,10,7
本,8,4
買う,0,2
難しい,15,0
参加,14,8
以外,14,0
書く,2,2
種類,7,0
登録,8,5
経験,1,0
うち,0,1
伝える,2,2
つける,14,0
画像,8,5
家族,2,0
最新,9,6
来る,0,2
よる,16,8
期待,15,0
みんな,0,1
つく,2,2
環境,8,7
生活,1,0
連続,15,6
毎日,0,2
頃,0,1
言える,15,0
当選,11,8
人間,3,0
機器,9,6
どこ,14,0
変更,8,6
効果,6,0
それぞれ,15,0
子,0,0
かかる,5,3
時代,17,1
記録,0,8
存在,2,0
皆さん,13,0
次,0,2
かける,1,2
合わせる,14,0
賞,0,8
料理,8,0
自身,17,6
嬉しい,0,1
活躍,3,8
新た,16,0
最初,0,1
音楽,9,5
液晶,7,8
状況,9,7
いける,0,0
変える,15,0
展開,11,7
起動,8,6
少ない,15,0
実現,7,8
専用,9,6
発言,17,7
家,13,4
携帯電話,9,7
そうだ,0,0
批判,17,7
人生,2,0
寄せる,17,7
友人,0,2
悪い,0,0
通り,8,4
向ける,14,0
一緒,0,2
大切,15,0
ら,2,8
選択,8,5
体,5,0
配信,11,8
出来る,1,2
意味,1,0
機,9,7
終了,11,8
一部,9,7
様子,17,6
撮る,1,2
飲む,0,2
印象,5,8
一人,0,2
用意,8,6
試合,4,5
時期,13,2
二人,1,0
すべて,16,0
あと,0,1
夢,2,0
加える,7,7
幸せ,2,0
企業,17,0
代表,3,8
性,6,8
した,10,6
取る,1,2
きた,17,1
以降,11,8
面白い,0,0
お客様,11,8
含む,9,7
世代,15,1
部,0,8
恋,2,0
その後,5,4
ちゃん,2,7
ほう,0,0
早い,0,1
電池,8,7
防水,9,6
技術,7,8
売れ筋,10,5
詳細,11,8
限定,12,8
電話,0,2
主人公,0,7
体験,14,0
ほしい,0,0
悩み,1,0
追加,8,6
活用,14,0
側,7,6
たくさん,14,0
水,6,1
可能性,8,8
非常,7,8
ひとつ,15,0
集める,3,8
企画,14,8
与える,3,0
終わる,0,2
その他,9,4
名前,8,4
かわいい,0,4
会場,13,8
異なる,9,7
快適,8,7
編集部,9,3
検索,8,5
探す,14,0
億,9,8
教える,14,0
国内,10,7
無い,15,0
編集,8,5
求める,15,0
決める,15,0
年収,17,0
場,0,3
質問,0,0
株式会社,11,8
働く,1,0
活動,17,0
報道,17,7
まま,6,4
中心,17,1
高速,8,7
特徴,6,8
送る,1,2
大人,2,0
別,14,0
面,7,8
掲載,17,8
調査,17,0
号,12,8
主演,0,8
等,10,7
程度,9,8
物語,0,7
影響,8,8
説明,8,5
合う,1,0
過去,1,0
投稿,8,5
女優,1,8
意識,1,0
お金,0,0
比べる,8,8
お呼び,11,8
原因,4,0
集まる,1,2
生きる,2,0
電源,8,6
割,9,8
お知らせ,11,8
店舗,11,8
重要,15,0
始まる,11,7
連絡,0,2
特別,12,8
一つ,15,0
行動,1,0
押す,7,5
風,0,4
絶対,0,0
いかが,13,0
いたす,11,8
有馬線,15,0
迎える,0,8
物,7,8
無線,9,6
今日,0,1
舞台,0,7
夫,1,0
量,8,8
土,12,8
答える,0,1
頑張る,0,0
注意,8,6
個,7,0
国,17,2
従来,7,8
展示,9,6
口,1,1
明かす,17,6
以前,13,1
置く,7,5
主,11,8
対策,9,7
下,6,5
保存,8,6
年間,9,8
開く,7,5
超える,9,8
目指す,16,0
条件,10,8
にも,9,4
あげる,0,1
全て,15,1
戦,4,5
自然,0,4
頭,1,1
獲得,0,8
管理,8,5
日本人,17,2
過ごす,0,3
子ども,0,0
確か,0,0
若い,2,1
挑戦,0,7
上がる,1,2
式,9,5
愛,2,0
期間,10,8
報じる,17,7
驚く,1,2
付ける,7,5
電子書籍,9,7
初,0,8
会,14,8
違い,15,0
再生,8,6
大変,0,0
普通,0,1
作成,8,5
筆者,14,0
試す,14,0
務める,1,8
雰囲気,0,4
彼氏,0,0
相談,13,0
周り,0,0
家電,10,5
成長,2,0
とる,1,2
昨年,15,6
夜,0,3
変化,16,0
目的,16,0
気分,0,4
思い,2,0
自動,8,6
制作,0,8
達,2,0
基本,15,0
悩む,0,0
まとめる,14,0
年齢,1,0
きっかけ,12,0
感覚,15,0
楽しみ,13,0
どちら,14,1
一般,8,8
仕様,8,7
練習,5,4
俳優,1,8
一覧,8,5
不安,1,0
動作,8,7
形,6,7
賞品,11,8
改善,8,7
足,6,5
お気に入り,8,5
さまざま,15,0
男子,1,0
過ぎる,0,1
興味,1,0
評価,16,0
香り,7,0
表現,5,8
母,0,1
付き,9,5
五輪,4,5
なれる,2,1
部屋,0,3
作,0,8
担当,11,0
共有,8,5
社,10,7
記念,12,8
恋人,2,0
立つ,1,2
雑誌,9,3
振り返る,4,4
もらえる,0,0
起こる,17,4
自転車,10,5
受賞,0,8
いえる,15,0
母親,17,5
食事,0,2
音,7,7
上映,12,8
周囲,1,0
解説,14,0
倍,8,8
曲,0,6
画素,7,7
はじめ,11,4
対象,11,8
妻,17,5
進む,16,0
決まる,1,2
大事,15,0
先生,13,0
通話,8,6
待つ,0,2
手軽,14,0
成功,16,0
出会い,2,0
当時,15,5
事件,17,4
使い方,14,0
どれ,14,0
近い,8,8
身,2,0
有名,3,8
可愛い,0,1
うまい,0,0
回答,13,0
披露,1,8
日本代表,4,5
内蔵,9,6
彼ら,2,0
失敗,1,0
君,0,1
上げる,15,0
長い,0,2
募集,11,8
十分,8,8
感動,0,7
完全,4,3
素手,9,7
同社,10,7
普段,0,2
取材,17,7
詳しい,14,0
中国,17,2
移動,8,6
いただける,13,0
視聴,8,6
判断,16,0
季節,0,3
残す,2,2
娘。,12,0
野球,17,6
発生,9,7
火,12,8
着る,1,3
理解,15,0
同様,7,7
にくい,5,0
明るい,0,4
女の子,0,1
生まれる,2,2
文字,7,5
了承,11,8
料金,10,8
発送,11,8
予約,11,8
俺,0,0
味,8,0
充実,15,0
帰る,0,2
しない,0,0
笑顔,0,1
機会,14,0
冬,11,4
最強,4,8
杯,4,5
独自,7,8
多数,9,3
連載,10,2
忘れる,1,2
いつ,0,2
ぶり,1,8
いま,14,1
自宅,0,3
思える,2,1
残る,2,2
旅行,0,3
果たす,1,8
全体,8,8
週間,12,8
街,0,4
男女,16,1
安心,14,0
同士,1,1
通常,8,7
今夏,10,6
電子,9,6
素敵,0,4
切る,6,4
市場,17,1
英語,8,4
昔,0,1
お互い,1,0
会う,0,2
一方,17,7
美人,3,8
見つける,14,0
最高,4,8
関わる,16,1
幅,7,8
地,12,5
応援,13,0
大好き,0,2
厳しい,15,1
将来,17,0
離婚,17,5
趣味,0,0
外,9,5
端子,8,6
原作,0,8
下さる,13,0
これら,9,7
限る,15,0
ごと,8,5
備える,9,6
付き合う,0,1
健康,5,0
録画,8,6
家庭,14,3
契約,10,8
守る,2,2
朝,0,3
愛す,2,0
自由,15,0
自ら,16,4
間違い,15,0
節電,8,8
瞬間,0,4
二,4,4
税込,11,8
心配,0,0
学ぶ,15,0
乗る,0,3
日々,3,0
拡大,9,7
戻る,0,2
挙げる,4,5
演出,5,8
みなさん,13,0
付く,7,5
左,7,5
父,15,4
比較,8,8
弾,12,8
高さ,6,8
深い,3,0
逆,0,0
広がる,15,0
含める,9,8
お願い,13,0
音声,8,6
発表会,14,8
予想,9,8
自信,1,0
不思議,0,5
個人,16,0
親,0,0
動き,6,7
空間,6,8
複数,9,7
劇場,0,8
本人,17,6
反応,1,1
髪,6,0
送信,8,6
野菜,8,0
所,0,4
陣,2,8
組,13,8
先日,14,8
覚える,1,2
業界,17,0
意外,14,0
編,10,3
会話,0,2
目標,16,0
性能,7,8
走る,0,3
車,12,4
一緒に,0,2
優しい,2,1
地域,12,5
もつ,2,2
美女,3,8
導入,9,7
好み,14,0
開発者,10,7
番,4,5
携帯,9,7
赤外線,10,5
普及,8,8
会議,14,8
社員,17,0
向上,7,8
明らか,17,7
自体,8,8
述べる,2,2
元気,2,0
指定,8,5
部門,0,8
婚活,17,1
させる,2,0
頂く,13,0
術,14,0
近づく,1,2
日本語,8,4
孫社長,17,7
歩く,0,3
届く,1,3
遊ぶ,0,2
出会う,2,0
是非,14,0
訪れる,0,4
正直,0,0
以来,15,6
衝撃,0,7
秒,8,7
有効,8,6
素材,6,8
外部,8,6
信じる,2,0
素晴らしい,2,0
豪華,1,8
虎の巻,8,5
私たち,1,0
日月,12,8
高位,7,8
ヶ月,10,8
人達,0,0
相次ぐ,17,7
豊富,7,0
つながる,15,0
右,7,5
美容,5,0
旅,0,4
希望,2,0
向かう,1,3
美,4,8
優勝,4,5
品,8,0
がち,4,0
装着,7,6
光,6,7
交際,17,5
誕生,0,8
並ぶ,0,4
美味しい,8,0
こだわる,15,0
合,0,2
大会,4,5
職場,0,0
限り,15,1
手順,8,5
当たる,12,8
似る,1,1
抽選,12,8
運営,15,8
春,0,3
夫婦,1,0
目立つ,2,3
現実,2,0
困る,0,1
求人,9,3
く,0,1
提案,16,0
独身,1,1
大学,17,0
営業,17,0
結局,0,0
電波,8,7
件,17,7
人々,17,2
なでしこ,4,5
触れる,1,3
小さい,6,6
元,7,4
軽い,6,1
才,11,0
招待,12,8
想像,1,0
事実,17,4
前後,9,8
米,15,7
世界中,17,2
回線,9,7
なん,0,0
未来,2,0
万人,9,8
見た目,6,8
占い,13,0
閲覧,8,6
残念,1,1
測定,8,7
全部,0,1
作業,8,6
なくなる,1,2
横,7,5
構成,7,7
近く,0,2
無理,0,0
嫌,0,0
胸,2,0
交換,8,6
販売元,10,5
映画化,0,8
満載,10,4
誇る,4,8
離れる,1,2
後半,4,5
処理,7,7
誘う,0,2
凄い,0,1
木,12,8
隠す,2,2
負ける,4,4
差,8,8
直接,8,5
安い,9,8
つまり,15,0
能力,7,8
理想,1,0
努力,1,0
寝る,0,2
戦う,2,1
こだわり,5,8
社長,17,0
調整,7,6
入り,8,1
身体,5,0
輝く,3,8
参考,14,0
研究,17,0
なか,14,1
起きる,1,2
日常,0,4
仲間,0,2
同時,9,5
流れる,1,2
技,6,8
星,0,5
富士通,10,6
額,9,8
動く,1,2
発売予定,11,8
進化,7,8
場面,5,5
至る,16,1
まとめ,10,3
通知,8,6
大丈夫,0,1
打つ,5,5
憧れる,2,0
住む,13,4
謎,0,7
負担,8,8
防塵,10,5
本日,12,8
広い,7,8
気づく,1,2
界,3,8
忙しい,0,2
怖い,0,1
要素,5,8
大手,17,0
感想,13,0
恐怖,0,7
なのか,2,1
人類,0,7
引く,2,2
息子,2,0
低い,8,8
派,13,0
本当,2,1
完成,0,7
運命,2,0
位置,7,5
正しい,15,0
年前,12,0
成分,6,0
突破,0,8
紙,8,4
お話,13,0
標準,8,7
笑う,0,1
方式,8,7
現状,16,0
表,8,5
削除,8,6
解禁,0,8
週,13,8
音声認識,9,4
表情,5,8
圧倒的,6,8
数々,0,7
甘い,8,0
癒す,0,4
指摘,17,8
驚き,2,4
失う,3,0
先輩,0,1
浮気,1,0
秘密,10,2
概要,11,8
誰か,0,1
疑問,1,0
気軽,14,0
当たり前,1,1
少女,0,7
答え,1,0
そのため,16,0
最適,9,5
伺う,15,0
認める,2,1
背面,7,6
作品情報,0,8
豊か,0,5
形式,8,4
やめる,0,1
途中,5,4
一切,17,8
完了,8,6
最新作,0,8
準備,14,0
芸能,17,6
現れる,1,4
告白,17,5
町,14,8
項目,8,5
発見,14,0
演技,1,8
現場,0,1
読者,13,0
社会,2,0
おいしい,8,0
幅広い,17,1
層,6,8
今度,12,2
経由,8,6
距離,6,5
報告,17,8
解像度,7,8
既婚,1,0
敵,3,0
殺到,17,7
重ねる,15,0
貼る,7,5
枚,7,4
連携,9,6
出し手,1,2
協力,15,8
都内,13,8
迫る,2,2
広告,8,4
階,13,8
使いこなす,14,0
本格,5,8
模様,14,8
他人,1,0
疲れる,0,2
歌う,1,2
裏,6,5
歴史,17,2
事業,17,0
今月,13,8
各種,9,7
抑える,7,7
父親,2,0
案内,11,8
大阪,13,8
秋,11,4
率,8,8
仮名,12,0
戦い,0,6
落ちる,5,2
抱える,3,0
範囲,8,7
勤務,12,0
進める,15,0
耳,6,5
共通,16,0
上手,14,0
薄い,7,8
背景,6,7
設置,8,6
年代,17,1
不要,8,6
解消,5,0
実感,15,0
苦手,0,1
知識,16,0
面倒,0,0
姿勢,16,0
参照,11,8
次世代,10,4
繰り返す,5,4
出場,4,5
服,0,1
受信,8,6
出力,8,6
実行,8,6
楽天,10,7
同僚,0,1
伝説,0,8
何度,0,1
修正,9,7
盛り上がる,1,2
見事,3,7
もと,17,3
喜ぶ,0,1
汗,6,0
いずれ,10,7
会員,11,8
芸能人,17,6
上司,0,0
収録,1,7
全世界,0,8
価値,16,0
計算,8,5
解決,15,0
怒る,0,1
性格,1,0
個性,5,8
前回,14,0
支持,17,1
開ける,1,3
どこか,1,1
約分,9,6
模試,1,0
勉強,0,0
ならでは,6,8
配置,7,6
あたり,9,8
十,5,3
平均,9,8
絆,2,0
地球,17,3
満足,14,0
大型,10,5
主題歌,0,8
細かい,7,6
高級,8,0
花,0,5
不具合,8,6
観客,0,6
取り入れる,15,0
横浜,14,8
軽量,7,8
別れる,1,0
いろいろ,14,0
感謝,13,0
帯,8,8
製作,0,8
狙う,4,3
付け,8,5
三,14,6
想い,2,0
事前,11,8
所属,15,6
読める,8,5
贈る,0,7
売れる,9,8
週刊,17,6
計画,17,3
外す,7,5
永遠,3,0
発信,8,5
優れる,6,8
本気,0,0
得,14,0
傾向,16,0
自動的,8,6
会社員,12,0
気付く,1,2
追う,3,0
落とす,5,2
本音,1,0
捨てる,2,1
異人,14,0
国際,14,8
両親,13,3
ひとり,0,2
下記,11,8
番号,8,5
役立つ,14,0
講座,13,0
規格,9,7
震災,15,8
感情,2,0
大人気,0,8
認識,7,7
線,6,5
月額,10,8
共演,1,8
抜く,2,3
銀座,13,8
学校,14,4
調べる,14,0
行い,16,8
試写会,12,8
納得,1,0
漫画,10,2
流れ,5,4
書き込み,17,7
人物,17,4
子供達,13,3
勢い,4,5
示す,17,2
電気,10,5
安定,8,8
道,2,0
飛ぶ,4,3
うれしい,14,0
予告編,0,8
器,7,0
時計,8,5
付属,9,6
渡る,14,6
住所,16,8
配合,7,0
でる,1,2
そのもの,3,1
当日,12,8
売る,14,2
問う,16,1
責任,17,8
空気,6,1
発売日,11,8
速度,8,8
やってくる,2,1
今週,12,8
支える,2,0
金額,9,8
絶賛,0,8
来日,1,8
同軸,4,6
全員,0,1
米国,17,2
旬,11,8
高まる,17,2
沢尻,1,8
弊社,11,8
学生,17,0
笑い,0,6
味方,10,4
新宿,13,8
知れる,14,0
いない,1,1
書籍,8,4
料,10,8
資料,10,7
特典,12,8
次第,14,0
欠く,15,0
眼,7,8
周年,0,8
上部,7,6
職,17,0
つもり,0,0
生,14,8
作り,15,0
妄想,1,0
写真展,14,8
記憶,15,4
投げる,5,5
分析,16,0
逮捕,17,4
辛い,0,0
問い合わせ,11,8
各社,9,7
噂,17,6
刺激,5,8
抱く,2,1
共感,2,0
歯,6,0
使い勝手,7,8
楽曲,9,4
見つかる,14,0
あまり,1,2
野村,4,4
とも,16,1
上記,9,7
重さ,8,7
恥ずかしい,0,1
新規,10,8
涙。,0,6
地元,13,5
新製品,10,6
必見,0,8
慣れる,1,2
取れる,1,2
香川,4,5
柄,7,0
略,10,2
危険,17,4
付き合い,1,0
繰り広げる,0,7
全米,0,8
受付,11,8
飾る,0,5
支援,15,8
つぶやく,1,2
外出,0,3
高画質,7,8
出産,4,0
嘘,1,0
ある日,14,4
予告映像,0,8
題す,16,6
発,8,4
作れる,8,0
泣く,0,1
巻,10,2
取り上げる,17,7
先週,12,8
痛い,3,3
社会人,12,0
重量,8,8
鑑賞,13,0
時点,11,7
行為,17,4
妊娠,4,0
訳,0,0
不倫,17,5
世の中,2,0
使い,14,0
立場,1,0
挑む,0,7
種,7,0
参入,10,5
通う,12,0
からだ,16,0
北海道,13,7
あふれる,0,5
明日,13,8
自慢,0,1
がる,0,1
都合,0,2
特長,7,8
卒業,15,5
包む,0,5
宣言,17,7
思い出,0,3
伝わる,1,2
このまま,1,0
確実,15,0
現地,15,8
迫力,5,8
殺す,17,4
割引,10,8
若手,2,8
深夜,16,6
左右,7,6
記者,17,6
同期,8,6
勝つ,4,5
猫,0,4
流す,1,2
辞める,0,0
数字,8,8
法,5,0
怒り,17,6
箱,7,0
つぶやき,17,7
研究所,10,3
文,8,4
経る,14,5
本物,4,8
期,17,1
小型,9,6
千,9,8
減る,9,8
身近,15,0
被害,17,8
現代,17,2
勝利,4,5
不足,8,8
初期,9,7
許す,2,2
集中,15,0
値,8,8
実家,13,3
入社,17,0
壁紙,8,5
画素数,7,7
一言,1,0
せい,0,0
もん,0,1
生まれ,14,6
完璧,4,8
復活,17,5
あり,9,4
騒動,17,7
来年,12,2
残,8,6
求人情報,11,8
為,0,6
待,8,6
駅,12,5
席,0,3
余裕,1,0
特定,8,5
届け,11,8
勇気,2,0
応じる,8,5
仮面,0,8
増やす,15,0
値段,7,8
訊く,4,5
姉妹,15,5
ご覧,13,0
全区,1,1
権利,17,8
腕,6,5
なに,11,2
直後,17,7
収入,17,0
楽,0,2
文化,17,2
視聴者,17,7
移籍,17,6
結婚式,13,3
縦,7,6
死ぬ,1,1
苦労,0,0
巨大,0,6
専門,17,0
一手,0,1
予告,0,8
勝手,0,0
制限,8,6
強化,9,7
着信,8,6
必須,15,0
遅い,0,2
社内,17,0
行える,8,6
作家,3,8
諦める,1,0
新聞,8,4
仲,1,0
親子,2,0
記載,11,8
反対,1,1
森,0,6
切り替える,7,6
毛,6,0
取得,9,7
出来事,3,0
上手い,15,0
週末,13,8
綺麗,0,4
小沢,0,1
暮らす,14,4
運ぶ,1,3
願う,2,0
映画祭,0,8
実践,14,0
高める,15,0
田中,17,6
考え方,16,0
生放送,14,8
先行,12,8
不満,0,0
おかしい,3,3
段階,6,4
くん,2,8
新作,0,8
高校,14,5
いくつか,9,7
重視,15,0
沖縄,13,7
韓流,17,6
例,8,4
台湾,15,8
事象,8,6
唯一,16,2
犯罪,17,4
繋がる,15,0
聴く,0,3
聞こえる,1,2
東日本大震災,15,8
当初,10,7
適用,10,8
化粧品,17,0
月々,10,8
新発売,10,5
主要,10,6
海,0,4
絵,0,4
総合,11,7
考え,16,0
本来,5,8
前半,5,4
保護,7,6
落ち着く,1,2
英国,3,8
格好,3,5
否定,17,7
っぽい,1,2
巨人,4,5
指,6,5
手間,8,5
つくる,1,3
大幅,8,8
起こす,17,4
方々,13,0
同誌,17,6
年下,12,0
毎月,10,8
東芝,10,6
固定,7,6
少し,15,8
人間関係,3,0
方向,6,5
受け手,17,7
扱う,16,1
大作,0,8
日時,12,8
午前,13,8
検討,9,7
故障,4,0
屋,10,0
おしゃれ,0,4
熱い,0,6
緊張,0,2
活かす,15,0
中身,7,1
少年,15,4
冒険,0,7
良さ,6,8
事態,17,7
白,7,0
観,15,0
避ける,4,1
挨拶,0,1
前作,0,8
彼女たち,2,0
合計,9,8
定番,8,0
寂しい,0,2
後輩,0,0
組み合わせ,6,8
解除,8,6
国民,17,2
午後,13,8
気に入る,0,1
徹底,10,4
自分自身,2,0
経つ,0,2
日日,12,8
あがる,2,3
視点,16,0
嫌い,0,1
瞬時,10,4
好評,12,8
枠,4,6
消える,4,2
素直,1,0
正式,11,8
投入,9,7
重い,4,0
迷う,0,0
側面,7,7
行なう,11,8
あれ,0,0
変換,8,6
有料,10,8
歩,1,0
神,0,6
開幕,4,5
事故,17,4
味わう,0,3
放つ,2,2
電車,0,3
基本的,14,0
下がる,8,8
本田,4,5
取扱,11,8
実力,16,0
振る,2,2
ものすごい,0,1
級,3,8
食,8,0
女子会,0,3
自動車,17,2
試し,13,0
小説,0,8
六本木,13,8
連動,9,6
用いる,7,7
貰う,0,0
暑い,5,0
課題,16,0
放射線,10,6
要件,10,3
育てる,2,0
復帰,17,6
脚本,1,8
芸人,17,6
詰まる,2,3
自殺,17,4
電話番号,8,5
動かす,6,5
安全,9,6
妹,12,0
純正,9,5
お酒,8,0
込める,0,6
長時間,7,7
謝罪,17,7
発揮,6,8
これだけ,14,0
初心者,14,0
戦略,17,0
事前予約,11,8
真実,17,4
ただ,4,3
衣装,0,6
動員,0,8
列,7,5
追求,6,8
客,0,3
仕方,0,0
漫画家,10,2
著者,10,2
孫正義,10,1
乾燥,6,0
かなり,8,8
声優,1,8
激しい,5,7
積極,17,0
溢れる,0,5
好きな人,0,0
発売開始,12,8
不明,17,8
お腹,5,0
高性能,7,8
書,9,3
興奮,0,6
事情,17,1
篇,0,8
大量,8,4
店頭,11,7
伸ばす,6,5
工夫,7,6
関心,17,1
継続,17,0
女子力,14,0
警察,17,4
お前,0,0
日本国内,10,7
揃う,5,8
上位,8,8
関係者,17,6
室,14,8
黒,7,0
定額,10,8
出身,14,5
利用者,9,8
質量,9,6
実質,10,8
風呂,0,3
渋谷,13,8
品柄,3,4
天然,6,0
赤,7,0
親友,15,4
効く,6,0
買い物,0,3
情報提供,14,0
はじめる,2,5
選べる,14,0
なさる,0,0
誌,3,8
流行,7,0
回る,0,2
つなぐ,0,7
広げる,15,0
南,13,5
導く,17,2
整理,14,0
電力,8,8
華やか,0,5
思い出す,1,2
仕上がり,5,8
立てる,15,0
愛情,2,0
保証,10,8
得意,15,0
世界初,10,5
設計,7,7
運動,5,0
効率,7,8
薄型,7,8
昨日,13,8
日木,12,8
保つ,6,0
消す,2,2
選び,14,0
望む,3,0
番組内,17,6
遅れる,4,3
発展,17,2
代わり,7,2
我々,17,2
応募期間,12,8
当選者,11,8
組織,17,0
断る,0,1
届ける,14,0
切れる,4,2
行,7,5
鑑定,13,0
球団,17,7
吉田,4,4
絵文字,8,5
記入,8,5
主張,17,8
関西,12,6
相当,5,6
済み,11,8
分野,17,0
贅沢,7,0
たま,0,2
古い,15,1
抜群,4,8
入手,9,6
局,17,7
注意事項,11,8
起用,1,8
物議,17,7
体重,5,0
斎藤,17,6
惹く,2,1
手掛ける,0,8
飛び出す,2,4
複雑,3,0
上陸,0,8
喜び,2,0
日金,12,8
日間,13,8
壁,6,5
短い,6,4
世紀,0,7
病院,16,8
中旬,11,8
出かける,0,3
嫌う,2,1
福岡,13,8
毎年,14,8
視聴率,0,8
仕組み,8,5
節約,14,0
奇跡,0,7
集結,0,8
堪能,0,4
券,12,8
肩,6,5
会見,17,6
受け入れる,2,0
教育,17,0
速い,7,8
北朝鮮,16,7
電話占い,13,0
宇宙,0,6
誕生日,0,2
動物,0,4
態度,1,0
映る,2,2
連れる,0,2
お父さん,0,1
他社,9,7
消費電力,8,7
橋下,17,7
始め,14,8
向く,15,0
みせる,3,4
組み合わせる,9,6
珍しい,15,1
出版,17,0
協会,15,8
信頼,1,0
武器,4,8
常識,16,0
増加,9,8
朝日,16,6
紫外線,6,0
懐かしい,0,4
足りる,15,0
一瞬,2,4
組む,16,1
撮れる,6,8
馴染み,4,8
厚い,6,6
通信速度,8,8
ねこ,0,4
空き容量,8,6
決意,2,0
皆,0,1
興行収入,0,8
露出,5,7
現象,4,0
直す,5,4
あわせる,14,0
天才,0,8
除く,10,8
冊,9,3
半分,9,8
経営,17,0
転送,8,6
引退,17,6
広島,13,7
一日,0,3
文章,8,5
える,3,0
学生時代,0,1
履く,0,3
三銃士,0,7
すぎ,4,2
出せる,15,0
芸能界,17,5
弱い,4,1
中央,6,6
無駄,4,3
左側,7,6
右側,7,5
だす,1,2
年度,10,7
年上,1,0
尋ねる,0,1
教室,14,8
たび,12,2
画質,7,8
当社,17,8
はやぶさ,0,8
止める,1,2
救う,3,0
冷静,1,0
相性,8,0
品質,7,8
注文,11,8
疲れ,5,0
加藤,11,0
防ぐ,5,0
投資,17,0
味わい,7,0
盛り上げる,1,4
遊び,0,2
続編,0,8
及ぶ,17,3
消費,8,8
占める,9,8
命,3,0
切り出す,4,4
